customer_id,order_id,order_date,order_value
C0103,O1001,2024-08-11,211.56
C0436,O1002,2024-04-12,16.74
C0861,O1003,2022-05-20,201.1
C0271,O1004,2024-03-02,51.63
C0107,O1005,2023-06-30,31.76
C0072,O1006,2024-10-13,589.07
C0701,O1007,2022-02-26,70.28
C0021,O1008,2022-04-22,30.72
C0615,O1009,2022-01-05,354.59
C0122,O1010,2024-11-02,58.04
C0467,O1011,2022-03-31,306.34
C0215,O1012,2023-09-08,228.83
C0331,O1013,2024-06-09,208.28
C0459,O1014,2023-11-29,60.31
C0088,O1015,2024-06-16,141.17
C0373,O1016,2024-08-28,142.7
C0100,O1017,2023-10-30,139.25
C0872,O1018,2023-08-17,349.72
C0664,O1019,2023-08-12,138.43
C0131,O1020,2023-04-30,272.91
C0662,O1021,2024-09-08,186.61
C0309,O1022,2024-08-29,58.55
C0770,O1023,2023-10-01,261.49
C0344,O1024,2024-09-23,288.22
C0492,O1025,2022-10-09,117.56
C0414,O1026,2024-09-12,220.31
C0806,O1027,2022-01-16,279.07
C0386,O1028,2024-07-24,774.51
C0192,O1029,2022-09-11,113.93
C0956,O1030,2022-11-25,249.18
C0277,O1031,2023-06-28,130.41
C0161,O1032,2024-02-22,265.02
C0460,O1033,2024-09-23,145.12
C0314,O1034,2024-04-24,60.15
C0022,O1035,2023-01-01,47.82
C0253,O1036,2023-10-17,350.05
C0748,O1037,2024-01-30,26.33
C0857,O1038,2023-10-01,277.58
C0561,O1039,2024-11-29,119.19
C0475,O1040,2024-07-12,292.74
C0059,O1041,2023-02-20,309.59
C0511,O1042,2022-09-12,132.02
C0682,O1043,2023-12-11,657.98
C0476,O1044,2023-07-31,151.72
C0700,O1045,2024-06-18,281.26
C0976,O1046,2022-01-11,132.62
C0783,O1047,2022-01-26,168.6
C0190,O1048,2024-08-14,116.89
C0958,O1049,2023-02-25,156.89
C0687,O1050,2023-05-11,26.7
C0958,O1051,2022-08-25,127.45
C0563,O1052,2024-10-05,222.95
C0876,O1053,2022-08-07,91.64
C0567,O1054,2023-04-06,195.5
